,기사작성일,기사제목,주가변동
61,2021.01.12,"카카오, '이모티콘' 구독 서비스 시작…월 3900원",0
62,2021.01.12,"[TF매매동향] 외인, '카카오' 사고 '삼성전자우' 팔고",0
63,2021.01.12,쏘카·카카오 타는 대기업들…모빌리티 법인시장 커진다,0
64,2021.01.12,"명품 선물은 카톡으로…카카오커머스, 스와로브스키 홈 컬렉션 선물하기 단독 판매",0
65,2021.01.12,"카카오, ESG 경영 강화...김범수 의장이 이끄는 'ESG 위원회' 신설",0
66,2021.01.12,"김범수 카카오 의장, 책임경영 앞장…‘EGS위원회’ 신설",0
67,2021.01.12,"스와로브스키 홈 컬렉션, 카카오톡 선물하기 단독 판매",0
68,2021.01.12,"카카오, 구독 서비스 선보여...이모티콘 월정액 무제한",0
69,2021.01.12,'카카오-쏘카-티맵'… 모빌리티 경쟁 3파전으로,0
70,2021.01.12,카카오·PASS 등 '민간전자서명' 공공웹사이트 이용 가능,0
71,2021.01.12,"카카오, 모빌리티 수익성 개선에 실적성장 기대... 목표가 상향 [NH투자증권]",0
72,2021.01.12,"카카오, 기업지배구조헌장 제정 및 ESG 위원회 신설",0
73,2021.01.12,아직 끝나지 않은 민사린의 이야기... 카카오TV '며느라기',0
74,2021.01.12,카카오·네이버 동반 하락...인터넷株 약세 지속,0
75,2021.01.12,"현대오일뱅크 ""카카오페이 결제 서비스, 자영주유소까지 확대""",0
76,2021.01.12,'수장 잃은' 케이뱅크와 '재연임' 카카오뱅크…엇갈린 운명,0
77,2021.01.12,"카카오커머스, ‘스와로브스키’ 홈 컬렉션 단독 출시",0
78,2021.01.12,"카카오, ESG 중심 경영 강화…위원회 신설",0
79,2021.01.12,"[이슈] 카카오게임즈, '달빛조각사' 수집록 시스템 업데이트",0
80,2021.01.12,"현대오일뱅크, 자영주유소서도 카카오페이 결제",0
81,2021.01.12,"카카오게임즈 '달빛조각사', 수집록 시스템 업데이트",0
82,2021.01.12,카카오게임즈 '달빛조각사' 수집록 시스템 업데이트,0
83,2021.01.12,"'손대면 1등' 카카오·네이버, 보험 장악하나",0
84,2021.01.12,"현대오일뱅크, 카카오페이 간편결제 서비스 자영주유소로 확대 도입",0
85,2021.01.12,"[단독] 카카오택시, 제멋대로 취소 수수료 논란…블루택시만 2000원 왜?",0
86,2021.01.12,"네이버·카카오, 마이데이터 사업 안착에 안간힘",0
87,2021.01.12,"네이버·카카오에 자극받은 보험사, '디지털 전환' 가속화",0
88,2021.01.12,"카카오페이 마이데이터사업 진출 낙관 못해, 대주주 알리바바 리스크",0
89,2021.01.12,카카오페이 또 '보류'…적격성 심사에 발목잡힌 마이데이터 사업,0
90,2021.01.12,카카오뱅크 조직 개편…하반기 IPO 역점,0
91,2021.01.12,한 번 알아두면 카카오톡 200% 활용할 수 있는 '꿀기능' 6가지,0
92,2021.01.12,빅테크 마이데이터 희비…네이버 대주주 리스크 해소·토스·카카오페이 긴장,0
93,2021.01.12,"""카카오, 영업이익 레버리지 효과 지속 전망""-신한금융투자",0
94,2021.01.12,"봉화교육지원청 위(Wee) 센터, 언택트 시대에 맞게 ZOOM, '카카오채널' 개설",0
95,2021.01.12,"유아 화장품 아토오겔, 카카오톡 친구 추가 시 3천원 할인 쿠폰 지급",0
96,2021.01.12,"NH투자證“카카오, 탄탄한 실적 성장이 주가 견인…목표가↑”",0
97,2021.01.12,카카오 'ESG위원회' 신설…김범수 의장이 직접 ‘진두지휘’,0
98,2021.01.12,"카카오, 이사회 내 ESG위원회 신설...김범수 의장이 직접 이끈다",0
99,2021.01.12,"카카오, 탄탄한 실적 성장 주가 상승 견인 전망 ‘목표가↑’-NH투자증권",0
100,2021.01.13,"[단독] 카카오 ""차별·증오발언 강경대응하겠다""",0
101,2021.01.13,"[체험기] '월3900원' 카카오 이모티콘 정액제… ""정말 혹하네""",0
102,2021.01.13,"카카오, 이모티콘 구독 서비스 출시…""월 3900원에 무제한""",0
103,2021.01.13,토스 등 7개사 마이데이터 예비허가..카카오페이는 지연,0
104,2021.01.13,'친환경 소비' 앞장서는 카카오…플라스틱 재활용 프로젝트,0
105,2021.01.13,상품탐색·추천기능 추가...카카오 쇼핑 중개 ‘쇼핑하우’ 확 바뀌었다,0
106,2021.01.13,"""미래는 전기차 시대""…기아차·카카오모빌리티 '맞손'",0
107,2021.01.13,마이데이터 물먹은 카카오페이‥예비인가 또 보류(종합),0
108,2021.01.13,'13월의 월급' 연말정산은 민간인증서로… 카카오·통신사·NHN 경쟁 후끈,0
109,2021.01.13,"카카오, ESG 경영 강화 선언… 투명한 기업 거듭난다",0
110,2021.01.13,'네이버 vs 카카오' 어디에 투자할까…증권사들의 평가는?,0
111,2021.01.13,마이데이터 물먹은 카카오페이‥예비인가 또 보류(종합),0
112,2021.01.13,"기아차-카카오, 택시 업계 전기차 보급 맞손···""운전자·승객 모두 만족할 것""",0
113,2021.01.13,'13월의 월급' 연말정산은 민간인증서로… 카카오·통신사·NHN 경쟁 후끈,0
114,2021.01.13,"카카오, ESG 경영 강화 선언… 투명한 기업 거듭난다",0
115,2021.01.13,"카카오·케이뱅크, ATM 수수료 무료 유지…""우리는 은행들하고 달라""",0
116,2021.01.13,'월 3900원에 15만개 사용' 카카오톡 이모티콘 정액제…어떻게 가입?,0
117,2021.01.13,"카카오커머스, 쇼핑하우 모바일 검색 전면 개편",0
118,2021.01.13,"카카오, 이모티콘 월정액 상품 '이모티콘 플러스' 출시",0
119,2021.01.13,"카카오커머스, 쇼핑하우 모바일 검색 전면 개편...""최적의 정보 제공""",0
120,2021.01.13,"'월 4900원·990원' 카카오, 이모티콘·톡서랍 구독 서비스 출시",0
121,2021.01.13,'지배구조 투명성 강화' 나선 카카오,0
122,2021.01.13,"카카오, '증오 발언 근절 원칙' 수립...IT업계 첫 선언",0
123,2021.01.13,네이버 '겨우' 카카오 '아직'…빅테크 마이데이터 '희비',0
124,2021.01.13,"기아차-카카오모빌리티, 국내 전기차 보급 활성화 '맞손'",0
125,2021.01.13,"카카오페이, 마이데이터 예비허가 못 받아…토스는 획득",0
126,2021.01.13,"카카오모빌리티-기아차, 전기차 보급 활성화 `맞손`",0
127,2021.01.13,"기아차-카카오모빌리티, 친환경 전기차 보급 활성화 맞손",0
128,2021.01.13,카카오커머스 쇼핑하우 모바일 검색 전면 개편,0
129,2021.01.13,"카카오, 이모티콘 월정액 상품 ‘이모티콘 플러스’ 출시",0
130,2021.01.13,"기아차-카카오모빌리티, 친환경 전기차 보급 활성화 '맞손'",0
131,2021.01.13,"루헨스, 공식 카카오톡 채널 오픈",0
132,2021.01.13,"카카오, 이모티콘 월정액 상품 이모티콘 플러스 출시",0
133,2021.01.13,"“월 3900원으로 무제한 사용”...카카오, 이모티콘 플러스 선봬",0
134,2021.01.13,"카카오메이커스, 병뚜껑 재활용 활동 '프라임 피플' 참여 고객 모집",0
135,2021.01.13,"카카오, 월 3900원에 이모티콘 무제한 사용 정기구독 상품 '이모티콘 플러스' 출시",0
136,2021.01.13,"카카오뱅크·케이뱅크, 'ATM 수수료 무료' 6월 말까지 연장",0
137,2021.01.13,"카카오모빌리티-기아차, 전기차 보급 활성화 위해 맞손",0
138,2021.01.13,토스ㆍSC은행 등 7개사 마이데이터 예비허가…카카오페이는 '보류',0
139,2021.01.13,토스·제일은행 등 7개사 마이데이터 예비인가…카카오페이 또 고배,0
140,2021.01.13,"기아차-카카오모빌리티, 친환경 전기차 보급 활성화 위한 업무협약 체결",0
141,2021.01.13,[마이데이터 시대] 토스 등 7개사 예비허가···카카오페이 '심사연장',0
142,2021.01.13,"루헨스, 공식 카카오톡 채널 오픈",0
143,2021.01.13,"기아차, 카카오모빌리티와 전기차 활성화 ‘맞손’",0
144,2021.01.13,"카카오, ESG위원회 신설…위원장에 김범수",0
145,2021.01.13,"카카오톡 이모티콘 정액제, 월 3900원으로 ""무제한 이용""",0
146,2021.01.13,"""이모티콘도 구독경제""...카카오, ‘이모티콘 플러스’ 출시",0
147,2021.01.13,"기아차, 카카오모빌리티와 친환경 전기차 보급 위해 '맞손'",0
148,2021.01.13,"카카오, 월 3900원에 카톡 이모티콘 무제한 구독 서비스 선봬",0
149,2021.01.13,"기아차-카카오모빌리티, 친환경 전기차 보급 확대 맞손",0
150,2021.01.14,"카카오맵 일부 이용자 신상 노출…카카오 ""보완하겠다""(종합)",0
151,2021.01.14,[단독] 군사 기밀·외도 사실까지…개인정보 '줄줄' 카카오맵,0
152,2021.01.14,네이버-카카오 '라이브 e커머스' 성장세 뜨겁다,0
153,2021.01.14,"카카오, GS건설에 챗봇 제공…""톡으로 아파트분양 신청부터 입주 절차까지 OK""",0
154,2021.01.14,"카카오 인증서, 국세청 홈택스 적용",0
155,2021.01.14,카카오 첫 구독 서비스…딩동~ 이모티콘 왔어요,0
156,2021.01.14,"인권위 ""카카오, 혐오표현 강경대응 환영…동참 기대""",0
157,2021.01.14,"카카오 ""혐오·증오 발언 강경 대처""…4가지 원칙 발표",0
158,2021.01.14,카카오택시-경찰 ‘핫라인’ 전국으로 확대,0
159,2021.01.14,카카오 “15일부터 카톡 지갑으로 연말정산 로그인”,0
160,2021.01.14,"GS건설, '카카오톡 챗봇 서비스' 사용 계약 체결",0
161,2021.01.14,카카오 “15일부터 카톡 지갑으로 연말정산 로그인”,0
162,2021.01.14,"[STOCK] 카카오, 자회사 IPO 기대감 업고 날아오를까",0
163,2021.01.14,"카카오 인증서, 국세청 홈택스 적용",0
164,2021.01.14,"카카오 VX ‘스마트홈트’, 이용자 중심 편의성 개선 업데이트 진행",0
165,2021.01.14,"연말정산 쉽게…""카카오뱅크가 도와드려요""",0
166,2021.01.14,"GS건설, 카카오엔터프라이즈와 챗봇 서비스 계약 ",0
167,2021.01.14,"NH농협손보, 카카오페이와 함께 암·뇌·심장 보장 상품 출시",0
168,2021.01.14,"카카오게임즈, 넥슨과 전략 파트너십",0
169,2021.01.14,"""연말정산 D-1, 민간인증 잡아라""…카카오·이통사·NHN 마케팅 총력전",0
170,2021.01.14,네이버는 웃고 카카오는 울고… 마이데이터 희비 교차,0
171,2021.01.14,"카카오커머스, 쇼핑하우 모바일 검색 전면 개편",0
172,2021.01.14,"카카오뱅크, 다양한 연말정산 가이드·편의 기능 선보여",0
173,2021.01.14,"'따로 또 같이'… 현대차-네이버, 기아차-카카오 모빌리티 동맹",0
174,2021.01.14,"""인종·성별·성적지향 등 증오발언 반대"" 카카오의 ESG 첫 걸음",0
175,2021.01.14,카카오톡 지갑으로 연말정산 간편 로그인한다,0
176,2021.01.14,"NH농협손보,‘카카오페이’와 손잡고 비대면 진단보험 출시",0
177,2021.01.14,카카오톡 지갑으로 간편하게 연말정산 준비하세요,0
178,2021.01.14,"카카오, 15일부터 카톡 지갑으로 연말정산 이용 가능",0
179,2021.01.14,"NH농협손보, 카카오페이와 ‘무배당 2040NH3대진단비보험’ 출시",0
180,2021.01.14,"카카오뱅크 ""연말정산 기초부터 서류 발급까지 도와드려요""",0
181,2021.01.14,"카카오맵, 정보공개 기본 설정이 '동의'...개인정보 유출 논란",0
182,2021.01.14,"NH농협손보, 카카오페이와 암·뇌혈관·심장 진단비 보험 출시",0
183,2021.01.14,"카카오, 플랫폼 부문이 올해 실적 성장 견인…목표가↑-IBK",0
184,2021.01.14,15일부터 카카오톡 지갑으로 연말정산 로그인 가능,0
185,2021.01.14,"카카오 VX, ‘스마트홈트’ 이용자 중심의 편의성 개선 업데이트",0
186,2021.01.14,"카카오뱅크, '연말정산 금융 가이드' 제공",0
187,2021.01.14,"NH농협손보-카카오페이, '무배당 2040NH3대진단비보험’ 출시",0
188,2021.01.14,‘이낙연표 이익공유제’ 대상은 배달의민족·네이버·카카오페이?,0
189,2021.01.14,"카카오, 지갑 인증서로 연말정산 로그인 가능",0
190,2021.01.14,"15일부터 연말정산 시작...카카오 vs 통신사, 국민인증서 대결 승자는?",0
191,2021.01.14,"농협손보, 카카오페이와 3대질병 진단비 보험 출시",0
192,2021.01.14,"카카오, 월 990원 클라우드·이모티콘 무제한 구독 서비스 동시 출시",0
193,2021.01.14,"NH농협손보-카카오페이, '3대 진단비보험' 출시",0
194,2021.01.14,"카카오 VX, '스마트홈트' 이용자 중심 편의성 개선 업데이트",0
195,2021.01.14,"카카오게임즈 가디언테일즈, 새 영웅 대천사 가브리엘 추가",0
196,2021.01.14,"카카오게임즈, ‘테라 클래식’ 던전 '드래곤 둥지' 확장 업데이트 진행",0
197,2021.01.14,"카카오 VX, ‘스마트홈트’ 이용자 중심의 편의성 개선 업데이트 진행",0
198,2021.01.14,카카오 차별·증오발언 근절 앞장…대응 정책 녹서 공개,0
199,2021.01.14,"카카오, 올해 자회사 IPO 주가 모멘텀될 것-미래에셋대우",0
200,2021.01.15,카카오 '뒷북 사과'…정부 나서자 '비공개' 전환,0
201,2021.01.15,"개인정보위, 카카오맵 '개인정보 비공개 전환' 요청",0
202,2021.01.15,"카카오맵 일부 이용자 신상 노출…카카오 ""보완 완료했다""",0
203,2021.01.15,'연말정산'엔 뭐가 더 좋을까…PASS·카카오인증 둘다 써보니,0
204,2021.01.15,"국가자격증도 네이버, 카카오톡으로 본다",0
205,2021.01.15,카카오·토스 출사표에 대형 증권사 '화들짝',0
206,2021.01.15,"'악플 온상' 지목 카카오, 국내기업 최초 '온라인 혐오표현 대응책' 발표",0
207,2021.01.15,"[아!이뉴스]카카오맵, 신상노출 논란에 사과…스캐터랩 ""이루다DB 폐기""",0
208,2021.01.15,"카카오게임즈, '패스 오브 엑자일' 확장팩 출시",0
209,2021.01.15,군사기밀까지 줄줄새는 카카오맵 개인정보,0
210,2021.01.15,카카오톡 지갑에서 ‘연말정산 로그인’ 가능,0
211,2021.01.15,네이버·카카오에서도 국가기술자격증 발급 받는다,0
212,2021.01.15,"[빅데이터MSI]시장심리 톱5, CJ·삼성물산·이마트·SK하이닉스·카카오",0
213,2021.01.15,"[TF매매동향] 외국인, '카카오' 사고 '삼성전자' 팔았다",0
214,2021.01.15,삼성전기·기아자동차·카카오뱅크 등 신입·인턴·IT개발자 모집,0
215,2021.01.15,"카카오, 고용노동부-한국산업인력공단-대한상공회의소 등 업무협약 체결",0
216,2021.01.15,“18살 여고생이 ‘이루다’ 역할을”… ‘성 상품화 온상’ 된 카카오톡 채팅방,0
217,2021.01.15,"카카오게임즈, 경쟁 게임 대신 홍보…왜?",0
218,2021.01.15,네이버·카카오에서 모바일 자격증 확인 가능해져,0
219,2021.01.15,"카카오맵 ""즐겨찾기 기본 비공개로 전환…심려 끼쳐 사과""",0
220,2021.01.15,"""우리가 먼저인데""…카카오 ESG위원회 발표에 심기 불편한 네이버",0
221,2021.01.15,"카카오엔터, GS건설에 모바일 챗봇 서비스 제공",0
222,2021.01.15,경찰청·카카오 T 택시 '협력치안' 전국 확대,0
223,2021.01.15,"카카오 ""카톡 지갑에서도 국가자격증 확인 가능해요""",0
224,2021.01.15,카톡·네이버로 국가자격증 확인된다…고용부·카카오·네이버 등 MOU 체결,0
225,2021.01.15,"[IT여담] 이루다, 카카오맵...비식별이 식별이 되는 순간",0
226,2021.01.15,"카카오맵 신상 노출 논란 ""실명 쓰면서 민감한 정보"" 기본값 문제 '검토' 입장",0
227,2021.01.15,즐겨찾기 목록이 만천하에…카카오맵 일부 이용자 신상 노출,0
228,2021.01.15,"카카오게임즈, ‘패스 오브 엑자일: 아틀라스의메아리’ 확장팩 16일 출시v",0
229,2021.01.15,"국가자격증 스마트폰에 담는다... 네이버와 카카오, 기관과 업무협약",0
230,2021.01.15,"카카오프렌즈 골프, 흰 소의 해 맞아 한정판 골프용품 출시",0
231,2021.01.15,"[IT 이슈 리마인드] ② 카카오, ESG 위원회 신설...ESG 중심 경영 강화 外",0
232,2021.01.15,"네이버-카카오, 금융권 영토 확장 험난해도…주가는 '고공행진' 계속",0
233,2021.01.15,"카카오, 의심하지 말자...신사업 성장이 주가 상승 열세",0
234,2021.01.15,"네이버-카카오 ""국가기술자격증, 모바일로 확인하세요""",0
235,2021.01.15,"카카오게임즈, '패스 오브 엑자일' 확장팩 16일 출시",0
236,2021.01.15,이제 자격증 들고 다닐 필요 없어진다…네이버·카카오톡으로 확인,0
237,2021.01.15,"카카오게임즈, 16일 '패스 오브 엑자일: 아틀라스의 메아리' 대규모 확장팩 출시",0
238,2021.01.15,실적 고성장에 자회사 상장 가치도 '쑥'…카카오 몸값 높이는 증권가,0
239,2021.01.15,"""국가자격증, 실물 아닌 네이버 앱(App)·카카오톡에 보관 가능""",0
240,2021.01.15,"고용부, 네이버‧카카오 등과 국가기술자격증 디지털 서비스 제공 추진",0
241,2021.01.15,"기아와 손잡은 카카오모빌리티, '전기차'로 차별화",0
242,2021.01.15,"[금일 산업계 주요기사]카카오맵 '신상노출' 논란에 비공개 조치 … LG유플러스, 2G 서비스 종료 外",0
243,2021.01.15,"카카오게임즈, 넵튠 지분 취득 내달로 미뤄",0
244,2021.01.15,“넥슨 게임하며 카톡친구 초대”… 넥슨-카카오게임즈 손잡아,0
245,2021.01.15,'싸다구버스폰' 카카오리틀프렌즈폰4 및 갤럭시A21s 공짜폰 특가전 진행,0
246,2021.01.15,"[게임스톡] 넵튠, 카카오게임즈 지분취득 연기 소식에 5% ↓",0
247,2021.01.15,"NH농협손보, 카카오페이와 '3대 진단비보험' 출시",0
248,2021.01.15,카카오게임즈 '엘리온' 40레벨 인스턴스 던전 '검은사도 병기고' 영웅 무기 획득 기회,0
249,2021.01.15,['대리운전기사의 사용자' 중노위 결정서 송달] 카카오모빌리티 이번에도 교섭 거부하나,0
250,2021.01.25,"카카오 김범수 아들딸, '아버지 회사' 재직…""승계와는 무관""",0
251,2021.01.25,"불타는 카카오?…""카카오미니 외장 배터리팩 수거""",0
252,2021.01.25,"연매출 1조 '카카오엔터' 출범…""해외 시장 공략 가속""",0
253,2021.01.25,"[IT돋보기] 카카오, 韓 디즈니 된다…'K콘텐츠' 글로벌 겨냥",0
254,2021.01.25,3월 ‘카카오 엔터’ 출범…네이버와 K-콘텐츠 승부,0
255,2021.01.25,"보도자료나 타 언론사 그대로 베껴…네이버·카카오, 9개 매체 제휴 해제",0
256,2021.01.25,"카카오뱅크, 세자릿수 경력직 채용 나서",0
257,2021.01.25,"카카오페이지-카카오M 합병, 카카오엔터테인먼트 출범 [공식]",0
258,2021.01.25,"카카오뱅크, 경력직 세 자릿수로 뽑는다",0
259,2021.01.25,"카카오페이 '미니금고', 두 달 만에 예수금 1100억 돌파",0
260,2021.01.25,"카카오뱅크, 경력직 세 자릿수로 뽑는다",0
261,2021.01.25,"카카오, 오뚜기와 협업 '라이언X진라면' 굿즈 출시",0
262,2021.01.25,"[아!이뉴스] '한국판 디즈니'…카카오, 콘텐츠 공룡 '우뚝'",0
263,2021.01.25,"'카카오페이지·카카오M' 합병, 3월 '카카오엔터테인먼트' 출범",0
264,2021.01.25,"카카오페이지·카카오M 합병, '카카오엔터테인먼트' 출범",0
265,2021.01.25,"카카오페이 '미니금고', 두 달 만에 예수금 1100억 넘어서",0
266,2021.01.25,카카오페이지X카카오M 합병…강력 네트워크 구축,0
267,2021.01.25,카카오페이지-카카오M 합병... ‘카카오엔터테인먼트’ 3월 출범,0
268,2021.01.25,재고명품도 '카카오톡 선물하기'로 산다,0
269,2021.01.25,카카오페이지-카카오M 합병...콘텐츠 공룡 '카카오엔터테인먼트' 출범,0
270,2021.01.25,"""부풀고 연기 나고"" 카카오미니C 외장 배터리 불 날라...전량 회수·환불",0
271,2021.01.25,카카오페이지·카카오M 합병... '카카오엔터테인먼트' 출범,0
272,2021.01.25,카카오 '합병' vs 네이버 '인수'...콘텐츠 경쟁 승자는?,0
273,2021.01.25,"카카오뱅크, 상반기 세자릿수 채용…직원수 1000명 눈앞",0
274,2021.01.25,9개 매체 네이버·카카오 뉴스서비스 '퇴출',0
275,2021.01.25,"카카오뱅크, 대규모 경력직 채용한다",0
276,2021.01.25,"카카오엔터테인먼트 출범, 1조원대 매출 공룡 탄생하나",0
277,2021.01.25,"카카오M·카카오페이지, '카카오엔터테인먼트'로 합병 [공식]",0
278,2021.01.25,카카오페이지-카카오M 합병…'매출 1조원' 카카오엔터 출범,0
279,2021.01.25,"카카오프렌즈, 라이언X진라면 한정판 굿즈 출시",0
280,2021.01.25,카카오페이지-카카오M 합병…'카카오엔터' 출범,0
281,2021.01.25,"카카오 김범수 자녀, 케이큐브홀딩스 재직... '승계와는 무관'",0
282,2021.01.25,AI 스피커 '카카오미니C' 외장배터리 연소에 수거·환불 조치,0
283,2021.01.25,"신세계면세점, '카카오톡 선물하기' 내 공식 브랜드관 오픈",0
284,2021.01.25,"카카오페이지 카카오M 합병, 카카오엔터테인먼트로 3월1일 새 출발",0
285,2021.01.25,카카오페이지·M 합병…카카오엔터 출범,0
286,2021.01.25,"잘 나가는 카카오페이 ‘미니금고’, 두달만에 1100억 예치",0
287,2021.01.25,카카오엔터테인먼트 출범…카카오페이지‧카카오M 1 대 1.31 비율로 합병(공식),0
288,2021.01.25,"카카오페이지·카카오M 합병, ‘카카오엔터테인먼트’ 출범",0
289,2021.01.25,[공식] 카카오페이지X카카오M 합병→카카오엔터테인먼트 출범..벨류체인 빅뱅 탄생,0
290,2021.01.25,"김범수 의장, 카카오 승계 박차? 아들·딸 '아버지 회사' 재직",0
291,2021.01.25,카카오페이지·카카오M 합병…‘카카오엔터테인먼트’ 출범,0
292,2021.01.25,K-콘텐츠 지각변동..연 매출 1조원대 '카카오엔터테인먼트' 출범,0
293,2021.01.25,"카카오 김범수 아들·딸, 사실상 지주사에 낙하산…""자회사·승계와 무관""",0
294,2021.01.25,"카카오페이 '미니금고', 예수금 1100억 돌파",0
295,2021.01.25,"카카오페이지-카카오M 합병, 3월 ‘카카오엔터테인먼트’로 새 출발",0
296,2021.01.25,"카카오 김범수 자녀 승계설 일축…케이큐브홀딩스, 카카오와 무관",0
297,2021.01.25,"카카오페이·증권 ‘미니금고’, 두달만에 예수금 1100억 돌파",0
298,2021.01.25,카카오-오뚜기 콜라보 굿즈 출시,0
299,2021.01.25,"엔터업계 사상 초유 합병, 카카오페이지·카카오M ‘카카오엔터테인먼트’로 새출발",0
